OBJECT_NAME,NORAD_CAT_ID,COUNTRY,cluster,orbit_type,inclination,mean_motion,cluster_mean_motion,diff_from_cluster_mean,explanation
CZ-2C DEB,17005,PRC,0,LEO,0.9935147140637561,16.05742311,14.787722438177877,1.2697006718221218,"CZ-2C DEB (NORAD 17005) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=0.994 deg, mean_motion=16.057 rev/day, cluster_mean_mean_motion=14.788, diff=1.270"
FSW-0 8 DEB,17028,PRC,0,LEO,0.9936717936964357,15.96086472,14.787722438177877,1.1731422818221233,"FSW-0 8 DEB (NORAD 17028) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=0.994 deg, mean_motion=15.961 rev/day, cluster_mean_mean_motion=14.788, diff=1.173"
CZ-2E R/B,20686,PRC,0,LEO,0.4967486303856181,16.25438037,14.787722438177877,1.4666579318221231,"CZ-2E R/B (NORAD 20686) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.497 deg, mean_motion=16.254 rev/day, cluster_mean_mean_motion=14.788, diff=1.467"
CZ-3 R/B,21834,PRC,0,LEO,0.5411602785318658,16.23718842,14.787722438177877,1.4494659818221223,"CZ-3 R/B (NORAD 21834) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.541 deg, mean_motion=16.237 rev/day, cluster_mean_mean_motion=14.788, diff=1.449"
CZ-2E R/B,22088,PRC,0,LEO,0.4880568907106863,16.36222597,14.787722438177877,1.574503531822124,"CZ-2E R/B (NORAD 22088) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.488 deg, mean_motion=16.362 rev/day, cluster_mean_mean_motion=14.788, diff=1.575"
CZ-2C DEB,22168,PRC,0,LEO,1.0953494399298693,15.7953667,14.787722438177877,1.007644261822124,"CZ-2C DEB (NORAD 22168) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=1.095 deg, mean_motion=15.795 rev/day, cluster_mean_mean_motion=14.788, diff=1.008"
CZ-2E R/B,22279,PRC,0,LEO,0.49079182164856144,16.32302843,14.787722438177877,1.5353059918221241,"CZ-2E R/B (NORAD 22279) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.491 deg, mean_motion=16.323 rev/day, cluster_mean_mean_motion=14.788, diff=1.535"
CZ-2C DEB,22861,PRC,0,LEO,0.990154955253667,15.700684709999999,14.787722438177877,0.9129622718221224,"CZ-2C DEB (NORAD 22861) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=0.990 deg, mean_motion=15.701 rev/day, cluster_mean_mean_motion=14.788, diff=0.913"
CZ-2C DEB,22862,PRC,0,LEO,0.9891985148235742,15.69725907,14.787722438177877,0.9095366318221227,"CZ-2C DEB (NORAD 22862) in Cluster 0 [LEO] : reason is unusual orbital drift within its group (debris). inclination=0.989 deg, mean_motion=15.697 rev/day, cluster_mean_mean_motion=14.788, diff=0.910"
FSW-1 5 CAPSULE,22870,PRC,0,LEO,0.9845192870989774,16.47940454,14.787722438177877,1.6916821018221242,"FSW-1 5 CAPSULE (NORAD 22870) in Cluster 0 [LEO] : reason is not moving like its neighbors (active satellite). inclination=0.985 deg, mean_motion=16.479 rev/day, cluster_mean_mean_motion=14.788, diff=1.692"
CZ-3A R/B,22997,PRC,0,LEO,0.47953444797319805,16.25990836,14.787722438177877,1.472185921822124,"CZ-3A R/B (NORAD 22997) in Cluster 0 [LEO] : reason is might be tumbling or decaying (rocket body). inclination=0.480 deg, mean_motion=16.260 rev/day, cluster_mean_mean_motion=14.788, diff=1.472"
DUMMY MASS,23009,PRC,0,LEO,0.49266281460669936,16.11899248,14.787722438177877,1.3312700418221226,"DUMMY MASS (NORAD 23009) in Cluster 0 [LEO] : reason is not moving like its neighbors (active satellite). inclination=0.493 deg, mean_motion=16.119 rev/day, cluster_mean_mean_motion=14.788, diff=1.331"
